      year,  location,    lowest,   2nd_low,    median,  2nd_high,   highest,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15
  2086,     3,    3.958,    4.213,    5.127,    5.590,    5.631,    5.048,    5.127,    5.145,    5.631,    5.536,    4.984,    3.958,    4.380,    5.262,    4.524,    5.586,    5.023,    5.217,    5.590,    4.213
  1996,     4,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,     4,    0.160,    0.206,    0.269,    0.312,    0.334,    0.269,    0.291,    0.209,    0.312,    0.288,    0.311,    0.245,    0.284,    0.246,    0.234,    0.300,    0.206,    0.334,    0.268,    0.160
  2016,     4,    0.382,    0.523,    0.694,    0.777,    0.805,    0.695,    0.694,    0.547,    0.763,    0.742,    0.777,    0.581,    0.694,    0.600,    0.602,    0.763,    0.523,    0.805,    0.700,    0.382
  2026,     4,    0.686,    0.980,    1.261,    1.382,    1.388,    1.289,    1.228,    1.021,    1.388,    1.348,    1.378,    1.002,    1.261,    1.140,    1.134,    1.353,    0.980,    1.382,    1.293,    0.686
  2036,     4,    0.948,    1.313,    1.692,    1.836,    1.939,    1.779,    1.622,    1.430,    1.939,    1.836,    1.764,    1.313,    1.692,    1.661,    1.592,    1.790,    1.395,    1.767,    1.832,    0.948
  2046,     4,    1.304,    1.734,    2.179,    2.422,    2.585,    2.285,    2.119,    1.888,    2.585,    2.383,    2.153,    1.734,    2.181,    2.305,    2.067,    2.290,    1.865,    2.179,    2.422,    1.304
  2056,     4,    1.790,    2.241,    2.699,    3.141,    3.287,    2.805,    2.711,    2.458,    3.287,    3.002,    2.638,    2.241,    2.699,    2.994,    2.558,    2.929,    2.406,    2.673,    3.141,    1.790
  2066,     4,    2.420,    2.757,    3.265,    3.895,    3.968,    3.362,    3.353,    3.141,    3.968,    3.692,    3.248,    2.757,    3.217,    3.662,    3.075,    3.700,    3.030,    3.265,    3.895,    2.420
  2076,     4,    3.146,    3.221,    3.985,    4.636,    4.663,    3.988,    3.994,    3.915,    4.636,    4.425,    3.929,    3.221,    3.669,    4.324,    3.639,    4.470,    3.783,    3.985,    4.663,    3.146
  2086,     4,    3.671,    3.920,    4.686,    5.288,    5.341,    4.686,    4.621,    4.694,    5.288,    5.203,    4.581,    3.671,    4.039,    4.959,    4.204,    5.204,    4.627,    4.816,    5.341,    3.920
  1996,     6,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,     6,    0.159,    0.212,    0.281,    0.323,    0.323,    0.281,    0.307,    0.239,    0.323,    0.302,    0.304,    0.241,    0.286,    0.259,    0.243,    0.302,    0.212,    0.323,    0.271,    0.159
  2016,     6,    0.374,    0.530,    0.699,    0.791,    0.793,    0.726,    0.728,    0.618,    0.793,    0.777,    0.760,    0.577,    0.690,    0.627,    0.630,    0.767,    0.530,    0.791,    0.699,    0.374
  2026,     6,    0.667,    0.983,    1.275,    1.398,    1.445,    1.337,    1.288,    1.131,    1.445,    1.398,    1.358,    1.004,    1.239,    1.179,    1.181,    1.346,    0.983,    1.371,    1.275,    0.667
  2036,     6,    0.919,    1.330,    1.703,    1.882,    2.001,    1.829,    1.703,    1.538,    2.001,    1.882,    1.759,    1.330,    1.649,    1.698,    1.649,    1.763,    1.375,    1.762,    1.784,    0.919
  2046,     6,    1.265,    1.754,    2.167,    2.411,    2.634,    2.313,    2.219,    1.969,    2.634,    2.411,    2.167,    1.754,    2.118,    2.330,    2.125,    2.218,    1.829,    2.152,    2.340,    1.265
  2056,     6,    1.733,    2.248,    2.653,    3.021,    3.305,    2.795,    2.818,    2.494,    3.305,    3.007,    2.653,    2.248,    2.618,    2.992,    2.611,    2.805,    2.360,    2.605,    3.021,    1.733
  2066,     6,    2.321,    2.721,    3.239,    3.737,    3.954,    3.313,    3.450,    3.133,    3.954,    3.667,    3.239,    2.721,    3.101,    3.616,    3.110,    3.515,    2.986,    3.149,    3.737,    2.321
  2076,     6,    2.983,    3.134,    3.885,    4.464,    4.593,    3.904,    4.079,    3.854,    4.593,    4.358,    3.885,    3.134,    3.516,    4.234,    3.627,    4.250,    3.719,    3.816,    4.464,    2.983
  2086,     6,    3.524,    3.682,    4.584,    5.110,    5.211,    4.576,    4.685,    4.587,    5.211,    5.084,    4.505,    3.524,    3.850,    4.834,    4.126,    4.977,    4.518,    4.584,    5.110,    3.682
  1996,     7,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,     7,    0.142,    0.198,    0.265,    0.304,    0.311,    0.270,    0.288,    0.213,    0.304,    0.288,    0.291,    0.237,    0.265,    0.228,    0.216,    0.281,    0.198,    0.311,    0.248,    0.142
  2016,     7,    0.333,    0.495,    0.650,    0.743,    0.755,    0.693,    0.682,    0.557,    0.743,    0.739,    0.729,    0.560,    0.648,    0.563,    0.560,    0.717,    0.495,    0.755,    0.650,    0.333
  2026,     7,    0.594,    0.921,    1.198,    1.331,    1.356,    1.279,    1.202,    1.018,    1.356,    1.331,    1.293,    0.963,    1.170,    1.082,    1.064,    1.265,    0.921,    1.299,    1.198,    0.594
  2036,     7,    0.821,    1.256,    1.591,    1.786,    1.897,    1.748,    1.582,    1.390,    1.897,    1.786,    1.659,    1.256,    1.561,    1.591,    1.504,    1.671,    1.295,    1.661,    1.698,    0.821
  2046,     7,    1.142,    1.653,    2.031,    2.289,    2.525,    2.224,    2.062,    1.784,    2.525,    2.289,    2.023,    1.653,    1.996,    2.207,    1.962,    2.123,    1.727,    2.031,    2.242,    1.142
