      year,  location,    lowest,   2nd_low,    median,  2nd_high,   highest,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15
  2056,    14,    1.926,    2.379,    2.815,    3.263,    3.398,    2.947,    2.874,    2.609,    3.398,    3.150,    2.788,    2.379,    2.808,    3.122,    2.663,    3.114,    2.529,    2.815,    3.263,    1.926
  2066,    14,    2.574,    2.929,    3.449,    4.030,    4.109,    3.527,    3.553,    3.337,    4.109,    3.865,    3.419,    2.929,    3.362,    3.813,    3.197,    3.904,    3.179,    3.449,    4.030,    2.574
  2076,    14,    3.329,    3.436,    4.181,    4.803,    4.811,    4.181,    4.219,    4.153,    4.803,    4.617,    4.128,    3.436,    3.846,    4.503,    3.783,    4.693,    3.962,    4.202,    4.811,    3.329
  2086,    14,    3.916,    4.137,    4.908,    5.480,    5.507,    4.908,    4.864,    4.969,    5.480,    5.415,    4.809,    3.916,    4.242,    5.164,    4.375,    5.451,    4.838,    5.056,    5.507,    4.137
  1996,    15,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    15,    0.161,    0.210,    0.275,    0.317,    0.340,    0.275,    0.297,    0.220,    0.317,    0.296,    0.313,    0.251,    0.288,    0.244,    0.235,    0.303,    0.210,    0.340,    0.268,    0.161
  2016,    15,    0.379,    0.528,    0.700,    0.779,    0.818,    0.708,    0.706,    0.570,    0.774,    0.761,    0.779,    0.590,    0.700,    0.596,    0.605,    0.767,    0.528,    0.818,    0.698,    0.379
  2026,    15,    0.677,    0.984,    1.264,    1.402,    1.407,    1.310,    1.247,    1.050,    1.407,    1.374,    1.378,    1.014,    1.264,    1.136,    1.139,    1.354,    0.984,    1.402,    1.285,    0.677
  2036,    15,    0.932,    1.325,    1.684,    1.858,    1.962,    1.802,    1.644,    1.451,    1.962,    1.858,    1.759,    1.325,    1.684,    1.661,    1.596,    1.785,    1.389,    1.786,    1.817,    0.932
  2046,    15,    1.280,    1.748,    2.159,    2.395,    2.607,    2.304,    2.143,    1.893,    2.607,    2.395,    2.142,    1.748,    2.159,    2.305,    2.067,    2.271,    1.850,    2.187,    2.394,    1.280
  2056,    15,    1.758,    2.251,    2.664,    3.098,    3.304,    2.813,    2.736,    2.448,    3.304,    3.001,    2.621,    2.251,    2.660,    2.986,    2.553,    2.895,    2.384,    2.664,    3.098,    1.758
  2066,    15,    2.375,    2.752,    3.234,    3.838,    3.976,    3.355,    3.377,    3.114,    3.976,    3.676,    3.224,    2.752,    3.158,    3.638,    3.062,    3.648,    3.005,    3.234,    3.838,    2.375
  2076,    15,    3.084,    3.196,    3.932,    4.592,    4.634,    3.961,    4.020,    3.864,    4.634,    4.384,    3.897,    3.196,    3.591,    4.281,    3.609,    4.405,    3.751,    3.932,    4.592,    3.084
  2086,    15,    3.625,    3.838,    4.640,    5.255,    5.275,    4.640,    4.644,    4.613,    5.275,    5.131,    4.539,    3.625,    3.941,    4.896,    4.147,    5.129,    4.580,    4.741,    5.255,    3.838
  1996,    16,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    16,    0.173,    0.210,    0.277,    0.320,    0.345,    0.277,    0.298,    0.219,    0.319,    0.300,    0.320,    0.253,    0.284,    0.253,    0.236,    0.305,    0.210,    0.345,    0.271,    0.173
  2016,    16,    0.413,    0.534,    0.711,    0.803,    0.832,    0.712,    0.711,    0.566,    0.774,    0.766,    0.803,    0.609,    0.695,    0.623,    0.603,    0.777,    0.534,    0.832,    0.713,    0.413
  2026,    16,    0.738,    1.001,    1.255,    1.425,    1.426,    1.315,    1.254,    1.050,    1.400,    1.384,    1.426,    1.054,    1.255,    1.182,    1.139,    1.393,    1.001,    1.425,    1.320,    0.738
  2036,    16,    1.010,    1.389,    1.720,    1.878,    1.952,    1.815,    1.654,    1.465,    1.952,    1.878,    1.829,    1.389,    1.684,    1.720,    1.605,    1.857,    1.431,    1.818,    1.878,    1.010
  2046,    16,    1.368,    1.820,    2.222,    2.482,    2.609,    2.337,    2.163,    1.939,    2.609,    2.438,    2.222,    1.820,    2.174,    2.377,    2.093,    2.387,    1.916,    2.239,    2.482,    1.368
  2056,    16,    1.859,    2.342,    2.749,    3.208,    3.331,    2.882,    2.774,    2.535,    3.331,    3.076,    2.713,    2.342,    2.709,    3.081,    2.595,    3.041,    2.466,    2.749,    3.208,    1.859
  2066,    16,    2.499,    2.878,    3.357,    3.963,    4.034,    3.459,    3.441,    3.242,    4.034,    3.781,    3.332,    2.878,    3.248,    3.763,    3.121,    3.822,    3.094,    3.357,    3.963,    2.499
  2076,    16,    3.246,    3.373,    4.085,    4.720,    4.728,    4.100,    4.099,    4.033,    4.720,    4.526,    4.031,    3.373,    3.721,    4.439,    3.697,    4.593,    3.855,    4.085,    4.728,    3.246
  2086,    16,    3.842,    4.042,    4.809,    5.387,    5.405,    4.809,    4.740,    4.821,    5.387,    5.319,    4.700,    3.842,    4.103,    5.086,    4.279,    5.323,    4.711,    4.920,    5.405,    4.042
  1996,    17,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    17,    0.194,    0.221,    0.290,    0.336,    0.364,    0.290,    0.329,    0.235,    0.336,    0.322,    0.327,    0.254,    0.312,    0.269,    0.257,    0.319,    0.221,    0.364,    0.285,    0.194
  2016,    17,    0.459,    0.569,    0.754,    0.826,    0.878,    0.754,    0.779,    0.601,    0.807,    0.818,    0.826,    0.618,    0.757,    0.658,    0.658,    0.818,    0.569,    0.878,    0.745,    0.459
  2026,    17,    0.812,    1.071,    1.369,    1.476,    1.500,    1.392,    1.372,    1.112,    1.456,    1.472,    1.476,    1.078,    1.350,    1.241,    1.233,    1.465,    1.071,    1.500,    1.369,    0.812
  2036,    17,    1.097,    1.434,    1.801,    1.987,    2.020,    1.925,    1.801,    1.544,    2.020,    1.987,    1.908,    1.434,    1.786,    1.795,    1.718,    1.943,    1.523,    1.909,    1.930,    1.097
  2046,    17,    1.465,    1.884,    2.344,    2.574,    2.704,    2.465,    2.344,    2.041,    2.704,    2.574,    2.331,    1.884,    2.283,    2.472,    2.214,    2.470,    2.021,    2.345,    2.538,    1.465
  2056,    17,    1.967,    2.429,    2.880,    3.269,    3.453,    3.023,    2.981,    2.658,    3.453,    3.235,    2.842,    2.429,    2.827,    3.194,    2.721,    3.121,    2.580,    2.880,    3.269,    1.967
  2066,    17,    2.618,    2.986,    3.516,    4.030,    4.175,    3.605,    3.670,    3.388,    4.175,    3.941,    3.478,    2.986,    3.377,    3.883,    3.258,    3.910,    3.232,    3.516,    4.030,    2.618
  2076,    17,    3.376,    3.496,    4.258,    4.799,    4.870,    4.258,    4.341,    4.199,    4.870,    4.669,    4.194,    3.496,    3.857,    4.567,    3.847,    4.699,    4.013,    4.260,    4.799,    3.376
  2086,    17,    3.970,    4.180,    4.991,    5.482,    5.542,    4.980,    4.991,    5.007,    5.542,    5.437,    4.885,    3.970,    4.246,    5.217,    4.444,    5.453,    4.887,    5.093,    5.482,    4.180
  1996,    18,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    18,    0.204,    0.243,    0.308,    0.348,    0.379,    0.292,    0.337,    0.248,    0.348,    0.330,    0.335,    0.256,    0.333,    0.279,    0.271,    0.341,    0.243,    0.379,    0.308,    0.204
  2016,    18,    0.484,    0.620,    0.794,    0.869,    0.914,    0.766,    0.800,    0.633,    0.840,    0.844,    0.847,    0.621,    0.801,    0.681,    0.700,    0.869,    0.620,    0.914,    0.794,    0.484
  2026,    18,    0.858,    1.084,    1.425,    1.548,    1.565,    1.425,    1.417,    1.175,    1.519,    1.522,    1.522,    1.084,    1.426,    1.284,    1.302,    1.548,    1.153,    1.565,    1.447,    0.858
  2036,    18,    1.155,    1.452,    1.884,    2.059,    2.105,    1.984,    1.871,    1.625,    2.105,    2.059,    1.977,    1.452,    1.884,    1.853,    1.800,    2.042,    1.612,    1.986,    2.016,    1.155
  2046,    18,    1.538,    1.925,    2.439,    2.660,    2.804,    2.539,    2.447,    2.144,    2.804,    2.660,    2.430,    1.925,    2.413,    2.541,    2.298,    2.579,    2.116,    2.439,    2.635,    1.538
  2056,    18,    2.051,    2.496,    2.994,    3.382,    3.564,    3.103,    3.111,    2.781,    3.564,    3.337,    2.960,    2.496,    2.984,    3.275,    2.815,    3.239,    2.691,    2.994,    3.382,    2.051
  2066,    18,    2.710,    3.065,    3.661,    4.162,    4.290,    3.692,    3.824,    3.544,    4.290,    4.061,    3.611,    3.065,    3.548,    3.974,    3.372,    4.041,    3.370,    3.661,    4.162,    2.710
  2076,    18,    3.473,    3.576,    4.387,    4.953,    4.994,    4.362,    4.511,    4.387,    4.994,    4.819,    4.339,    3.576,    4.034,    4.672,    3.979,    4.855,    4.180,    4.438,    4.953,    3.473
  2086,    18,    4.055,    4.288,    5.169,    5.658,    5.677,    5.109,    5.169,    5.221,    5.677,    5.616,    5.049,    4.055,    4.435,    5.336,    4.582,    5.649,    5.078,    5.302,    5.658,    4.288
  1996,    19,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    19,    0.178,    0.228,    0.284,    0.334,    0.344,    0.280,    0.315,    0.241,    0.334,    0.305,    0.321,    0.240,    0.306,    0.264,    0.258,    0.324,    0.228,    0.344,    0.284,    0.178
  2016,    19,    0.420,    0.574,    0.733,    0.820,    0.832,    0.729,    0.748,    0.625,    0.814,    0.787,    0.804,    0.574,    0.736,    0.639,    0.666,    0.820,    0.574,    0.832,    0.733,    0.420
  2026,    19,    0.748,    0.995,    1.327,    1.439,    1.477,    1.351,    1.327,    1.150,    1.477,    1.421,    1.435,    0.995,    1.318,    1.202,    1.237,    1.439,    1.061,    1.430,    1.339,    0.748
  2036,    19,    1.020,    1.322,    1.754,    1.926,    2.046,    1.865,    1.754,    1.576,    2.046,    1.926,    1.851,    1.322,    1.747,    1.733,    1.711,    1.879,    1.477,    1.822,    1.872,    1.020
  2046,    19,    1.382,    1.759,    2.272,    2.481,    2.705,    2.375,    2.287,    2.040,    2.705,    2.481,    2.272,    1.759,    2.242,    2.387,    2.187,    2.364,    1.948,    2.230,    2.458,    1.382
  2056,    19,    1.868,    2.284,    2.771,    3.171,    3.410,    2.891,    2.899,    2.605,    3.410,    3.111,    2.771,    2.284,    2.771,    3.081,    2.684,    2.985,    2.501,    2.719,    3.171,    1.868
  2066,    19,    2.484,    2.802,    3.379,    3.919,    4.086,    3.442,    3.553,    3.289,    4.086,    3.796,    3.379,    2.802,    3.289,    3.737,    3.205,    3.740,    3.154,    3.315,    3.919,    2.484
  2076,    19,    3.186,    3.260,    4.057,    4.677,    4.746,    4.071,    4.203,    4.057,    4.746,    4.515,    4.054,    3.260,    3.732,    4.386,    3.758,    4.510,    3.925,    4.033,    4.677,    3.186
  2086,    19,    3.694,    3.933,    4.829,    5.349,    5.386,    4.776,    4.837,    4.829,    5.386,    5.266,    4.711,    3.694,    4.085,    5.010,    4.296,    5.263,    4.764,    4.850,    5.349,    3.933
  1996,    20,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    20,    0.124,    0.179,    0.235,    0.276,    0.292,    0.247,    0.276,    0.189,    0.292,    0.274,    0.260,    0.224,    0.235,    0.206,    0.209,    0.243,    0.179,    0.276,    0.212,    0.124
  2016,    20,    0.282,    0.450,    0.567,    0.691,    0.710,    0.642,    0.653,    0.491,    0.710,    0.691,    0.654,    0.534,    0.567,    0.514,    0.534,    0.622,    0.450,    0.681,    0.565,    0.282
  2026,    20,    0.489,    0.836,    1.058,    1.231,    1.291,    1.194,    1.139,    0.889,    1.291,    1.231,    1.164,    0.923,    1.017,    0.991,    1.006,    1.108,    0.836,    1.174,    1.058,    0.489
  2036,    20,    0.660,    1.165,    1.479,    1.636,    1.798,    1.636,    1.479,    1.195,    1.798,    1.628,    1.496,    1.189,    1.347,    1.460,    1.401,    1.483,    1.165,    1.493,    1.525,    0.660
  2046,    20,    0.933,    1.514,    1.824,    2.076,    2.374,    2.076,    1.906,    1.514,    2.374,    2.072,    1.824,    1.517,    1.718,    2.021,    1.823,    1.901,    1.534,    1.799,    2.038,    0.933
  2056,    20,    1.343,    1.877,    2.244,    2.655,    2.988,    2.495,    2.433,    1.922,    2.988,    2.577,    2.232,    1.877,    2.122,    2.581,    2.244,    2.436,    1.972,    2.147,    2.655,    1.343
  2066,    20,    1.887,    2.213,    2.739,    3.295,    3.569,    2.944,    3.014,    2.429,    3.569,    3.152,    2.739,    2.213,    2.517,    3.089,    2.666,    3.069,    2.504,    2.579,    3.295,    1.887
  2076,    20,    2.499,    2.500,    3.302,    3.935,    4.147,    3.429,    3.597,    3.006,    4.147,    3.738,    3.302,    2.500,    2.863,    3.574,    3.073,    3.718,    3.164,    3.126,    3.935,    2.499
  2086,    20,    2.778,    3.127,    3.903,    4.494,    4.710,    3.976,    4.148,    3.594,    4.710,    4.344,    3.824,    2.778,    3.127,    4.049,    3.450,    4.344,    3.903,    3.786,    4.494,    3.136
  1996,    21,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    21,    0.204,    0.236,    0.299,    0.344,    0.366,    0.294,    0.344,    0.236,    0.344,    0.328,    0.319,    0.254,    0.329,    0.277,    0.275,    0.325,    0.236,    0.366,    0.299,    0.204
  2016,    21,    0.483,    0.605,    0.775,    0.841,    0.879,    0.775,    0.816,    0.605,    0.827,    0.841,    0.813,    0.621,    0.791,    0.673,    0.704,    0.831,    0.605,    0.879,    0.774,    0.483
  2026,    21,    0.852,    1.078,    1.409,    1.502,    1.518,    1.430,    1.440,    1.129,    1.493,    1.518,    1.469,    1.078,    1.400,    1.265,    1.304,    1.478,    1.130,    1.502,    1.409,    0.852
  2036,    21,    1.142,    1.433,    1.890,    2.057,    2.069,    1.976,    1.890,    1.570,    2.069,    2.057,    1.921,    1.433,    1.836,    1.813,    1.792,    1.946,    1.577,    1.898,    1.965,    1.142
  2046,    21,    1.514,    1.884,    2.365,    2.654,    2.763,    2.502,    2.450,    2.072,    2.763,    2.654,    2.365,    1.884,    2.337,    2.476,    2.272,    2.455,    2.071,    2.325,    2.565,    1.514
  2056,    21,    2.013,    2.435,    2.882,    3.312,    3.515,    3.044,    3.092,    2.673,    3.515,    3.312,    2.877,    2.435,    2.882,    3.173,    2.758,    3.089,    2.629,    2.851,    3.285,    2.013
  2066,    21,    2.641,    2.986,    3.499,    4.024,    4.224,    3.607,    3.779,    3.386,    4.224,    3.987,    3.499,    2.986,    3.416,    3.833,    3.273,    3.871,    3.301,    3.484,    4.024,    2.641
  2076,    21,    3.361,    3.472,    4.211,    4.770,    4.898,    4.248,    4.447,    4.171,    4.898,    4.672,    4.196,    3.472,    3.869,    4.482,    3.840,    4.665,    4.083,    4.211,    4.770,    3.361
  2086,    21,    3.911,    4.122,    4.953,    5.439,    5.542,    4.950,    5.090,    4.953,    5.542,    5.385,    4.878,    3.911,    4.232,    5.094,    4.411,    5.439,    4.942,    5.010,    5.436,    4.122
  1996,    22,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    22,    0.153,    0.199,    0.268,    0.308,    0.327,    0.268,    0.292,    0.212,    0.308,    0.290,    0.301,    0.247,    0.279,    0.232,    0.227,    0.293,    0.199,    0.327,    0.258,    0.153
  2016,    22,    0.360,    0.503,    0.679,    0.753,    0.789,    0.693,    0.693,    0.552,    0.753,    0.745,    0.752,    0.582,    0.679,    0.573,    0.586,    0.742,    0.503,    0.789,    0.676,    0.360
  2026,    22,    0.642,    0.941,    1.227,    1.355,    1.372,    1.284,    1.221,    1.017,    1.372,    1.345,    1.332,    1.000,    1.227,    1.099,    1.107,    1.312,    0.941,    1.355,    1.247,    0.642
  2036,    22,    0.883,    1.303,    1.633,    1.817,    1.918,    1.766,    1.606,    1.404,    1.918,    1.817,    1.703,    1.303,    1.633,    1.617,    1.555,    1.731,    1.334,    1.729,    1.767,    0.883
  2046,    22,    1.219,    1.713,    2.093,    2.341,    2.555,    2.260,    2.093,    1.826,    2.555,    2.341,    2.075,    1.713,    2.089,    2.252,    2.019,    2.205,    1.783,    2.117,    2.330,    1.219
  2056,    22,    1.685,    2.197,    2.577,    3.019,    3.243,    2.754,    2.675,    2.356,    3.243,    2.931,    2.543,    2.197,    2.571,    2.917,    2.495,    2.814,    2.301,    2.577,    3.019,    1.685
  2066,    22,    2.289,    2.678,    3.131,    3.741,    3.904,    3.281,    3.307,    2.995,    3.904,    3.589,    3.131,    2.678,    3.051,    3.551,    2.989,    3.547,    2.904,    3.125,    3.741,    2.289
  2076,    22,    2.983,    3.101,    3.800,    4.479,    4.551,    3.867,    3.941,    3.716,    4.551,    4.275,    3.787,    3.101,    3.469,    4.173,    3.515,    4.285,    3.633,    3.800,    4.479,    2.983
  2086,    22,    3.509,    3.718,    4.523,    5.124,    5.182,    4.523,    4.552,    4.441,    5.182,    4.996,    4.411,    3.509,    3.806,    4.770,    4.030,    4.990,    4.446,    4.589,    5.124,    3.718
  1996,    23,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    23,    0.191,    0.229,    0.293,    0.336,    0.362,    0.285,    0.319,    0.240,    0.336,    0.316,    0.331,    0.247,    0.314,    0.269,    0.261,    0.334,    0.229,    0.362,    0.293,    0.191
  2016,    23,    0.454,    0.585,    0.756,    0.844,    0.872,    0.740,    0.761,    0.613,    0.815,    0.806,    0.829,    0.593,    0.757,    0.655,    0.672,    0.844,    0.585,    0.872,    0.756,    0.454
  2026,    23,    0.806,    1.030,    1.356,    1.493,    1.494,    1.375,    1.349,    1.134,    1.475,    1.453,    1.478,    1.030,    1.356,    1.235,    1.250,    1.494,    1.084,    1.493,    1.381,    0.806
  2036,    23,    1.092,    1.372,    1.802,    1.967,    2.050,    1.906,    1.789,    1.566,    2.050,    1.967,    1.903,    1.372,    1.802,    1.784,    1.731,    1.965,    1.523,    1.896,    1.933,    1.092
  2046,    23,    1.465,    1.823,    2.331,    2.547,    2.730,    2.443,    2.342,    2.057,    2.730,    2.547,    2.331,    1.823,    2.320,    2.458,    2.217,    2.489,    2.008,    2.326,    2.540,    1.465
  2056,    23,    1.966,    2.369,    2.877,    3.276,    3.468,    2.988,    2.983,    2.665,    3.468,    3.203,    2.843,    2.369,    2.877,    3.179,    2.726,    3.142,    2.573,    2.850,    3.276,    1.966
  2066,    23,    2.612,    2.920,    3.487,    4.051,    4.178,    3.567,    3.667,    3.397,    4.178,    3.916,    3.476,    2.920,    3.427,    3.869,    3.267,    3.931,    3.235,    3.487,    4.051,    2.612
  2076,    23,    3.358,    3.420,    4.229,    4.837,    4.870,    4.229,    4.337,    4.215,    4.870,    4.665,    4.182,    3.420,    3.900,    4.556,    3.857,    4.725,    4.029,    4.244,    4.837,    3.358
  2086,    23,    3.896,    4.154,    4.985,    5.537,    5.543,    4.967,    4.985,    5.030,    5.543,    5.454,    4.866,    3.896,    4.285,    5.210,    4.442,    5.494,    4.907,    5.099,    5.537,    4.154
  1996,    24,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    24,    0.188,    0.233,    0.293,    0.336,    0.354,    0.282,    0.319,    0.242,    0.336,    0.309,    0.323,    0.240,    0.317,    0.268,    0.266,    0.332,    0.233,    0.354,    0.293,    0.188
  2016,    24,    0.446,    0.578,    0.753,    0.841,    0.856,    0.738,    0.759,    0.622,    0.819,    0.796,    0.812,    0.578,    0.759,    0.651,    0.687,    0.841,    0.592,    0.856,    0.753,    0.446
  2026,    24,    0.791,    1.006,    1.354,    1.482,    1.484,    1.372,    1.350,    1.151,    1.484,    1.440,    1.457,    1.006,    1.354,    1.227,    1.271,    1.482,    1.097,    1.470,    1.374,    0.791
  2036,    24,    1.072,    1.345,    1.793,    1.957,    2.061,    1.905,    1.791,    1.583,    2.061,    1.957,    1.889,    1.345,    1.793,    1.772,    1.751,    1.941,    1.529,    1.870,    1.919,    1.072
  2046,    24,    1.441,    1.795,    2.325,    2.530,    2.736,    2.434,    2.345,    2.065,    2.736,    2.530,    2.325,    1.795,    2.306,    2.439,    2.230,    2.445,    2.006,    2.293,    2.518,    1.441
  2056,    24,    1.936,    2.333,    2.856,    3.245,    3.464,    2.968,    2.977,    2.654,    3.464,    3.178,    2.835,    2.333,    2.856,    3.147,    2.734,    3.083,    2.562,    2.807,    3.245,    1.936
  2066,    24,    2.567,    2.867,    3.458,    4.004,    4.158,    3.535,    3.652,    3.369,    4.158,    3.876,    3.458,    2.867,    3.395,    3.818,    3.269,    3.856,    3.224,    3.432,    4.004,    2.567
  2076,    24,    3.290,    3.341,    4.175,    4.772,    4.835,    4.182,    4.315,    4.166,    4.835,    4.607,    4.150,    3.341,    3.853,    4.483,    3.843,    4.644,    4.011,    4.175,    4.772,    3.290
  2086,    24,    3.790,    4.059,    4.961,    5.454,    5.491,    4.905,    4.961,    4.963,    5.491,    5.371,    4.826,    3.790,    4.220,    5.118,    4.403,    5.414,    4.874,    5.010,    5.454,    4.059
  1996,    25,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    25,    0.155,    0.200,    0.267,    0.308,    0.328,    0.267,    0.291,    0.208,    0.308,    0.288,    0.302,    0.248,    0.279,    0.235,    0.229,    0.294,    0.200,    0.328,    0.260,    0.155
  2016,    25,    0.364,    0.505,    0.680,    0.755,    0.792,    0.689,    0.691,    0.543,    0.753,    0.739,    0.755,    0.584,    0.680,    0.576,    0.589,    0.745,    0.505,    0.792,    0.680,    0.364
  2026,    25,    0.650,    0.945,    1.231,    1.359,    1.370,    1.278,    1.218,    1.004,    1.370,    1.338,    1.337,    1.004,    1.231,    1.102,    1.112,    1.317,    0.945,    1.359,    1.256,    0.650
  2036,    25,    0.894,    1.308,    1.643,    1.813,    1.916,    1.762,    1.602,    1.394,    1.916,    1.813,    1.710,    1.308,    1.643,    1.619,    1.563,    1.740,    1.345,    1.736,    1.782,    0.894
  2046,    25,    1.234,    1.717,    2.107,    2.353,    2.553,    2.259,    2.088,    1.825,    2.553,    2.342,    2.085,    1.717,    2.107,    2.256,    2.028,    2.222,    1.798,    2.130,    2.353,    1.234
  2056,    25,    1.705,    2.202,    2.597,    3.048,    3.243,    2.759,    2.670,    2.365,    3.243,    2.938,    2.557,    2.202,    2.597,    2.929,    2.507,    2.839,    2.319,    2.597,    3.048,    1.705
  2066,    25,    2.317,    2.687,    3.156,    3.779,    3.909,    3.294,    3.305,    3.015,    3.909,    3.603,    3.150,    2.687,    3.086,    3.572,    3.007,    3.583,    2.924,    3.156,    3.779,    2.317
  2076,    25,    3.020,    3.119,    3.842,    4.524,    4.561,    3.889,    3.939,    3.749,    4.561,    4.300,    3.813,    3.119,    3.513,    4.203,    3.545,    4.328,    3.657,    3.842,    4.524,    3.020
  2086,    25,    3.537,    3.766,    4.555,    5.177,    5.197,    4.556,    4.555,    4.487,    5.197,    5.036,    4.443,    3.537,    3.859,    4.808,    4.076,    5.039,    4.480,    4.641,    5.177,    3.766
  1996,    26,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    26,    0.205,    0.243,    0.309,    0.347,    0.384,    0.296,    0.340,    0.244,    0.347,    0.331,    0.335,    0.260,    0.336,    0.280,    0.270,    0.338,    0.243,    0.384,    0.309,    0.205
  2016,    26,    0.487,    0.620,    0.800,    0.864,    0.924,    0.775,    0.806,    0.623,    0.836,    0.848,    0.849,    0.634,    0.808,    0.685,    0.698,    0.864,    0.620,    0.924,    0.800,    0.487
  2026,    26,    0.862,    1.106,    1.435,    1.542,    1.580,    1.437,    1.423,    1.161,    1.510,    1.531,    1.525,    1.106,    1.435,    1.290,    1.302,    1.542,    1.155,    1.580,    1.459,    0.862
  2036,    26,    1.161,    1.480,    1.890,    2.075,    2.094,    1.997,    1.874,    1.614,    2.094,    2.075,    1.983,    1.480,    1.890,    1.859,    1.803,    2.035,    1.620,    2.003,    2.036,    1.161
  2046,    26,    1.544,    1.956,    2.447,    2.685,    2.798,    2.552,    2.447,    2.138,    2.798,    2.685,    2.436,    1.956,    2.413,    2.550,    2.303,    2.573,    2.129,    2.457,    2.657,    1.544
  2056,    26,    2.059,    2.532,    3.013,    3.407,    3.564,    3.122,    3.113,    2.779,    3.564,    3.368,    2.968,    2.532,    2.980,    3.286,    2.818,    3.234,    2.705,    3.013,    3.407,    2.059
  2066,    26,    2.719,    3.104,    3.677,    4.186,    4.295,    3.713,    3.828,    3.543,    4.295,    4.092,    3.620,    3.104,    3.542,    3.987,    3.372,    4.041,    3.386,    3.677,    4.186,    2.719
  2076,    26,    3.483,    3.617,    4.382,    4.975,    4.998,    4.381,    4.517,    4.382,    4.998,    4.843,    4.350,    3.617,    4.027,    4.685,    3.981,    4.853,    4.193,    4.445,    4.975,    3.483
  2086,    26,    4.094,    4.297,    5.176,    5.675,    5.676,    5.121,    5.176,    5.210,    5.675,    5.633,    5.061,    4.094,    4.424,    5.347,    4.590,    5.641,    5.090,    5.298,    5.676,    4.297
  1996,    27,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    27,    0.204,    0.243,    0.304,    0.346,    0.359,    0.284,    0.333,    0.248,    0.346,    0.321,    0.319,    0.250,    0.328,    0.272,    0.281,    0.336,    0.243,    0.359,    0.304,    0.204
  2016,    27,    0.483,    0.605,    0.778,    0.857,    0.866,    0.753,    0.791,    0.634,    0.837,    0.825,    0.806,    0.605,    0.784,    0.663,    0.720,    0.857,    0.619,    0.866,    0.778,    0.483
  2026,    27,    0.849,    1.052,    1.403,    1.515,    1.517,    1.403,    1.410,    1.176,    1.515,    1.491,    1.456,    1.052,    1.396,    1.251,    1.325,    1.517,    1.146,    1.486,    1.413,    0.849
  2036,    27,    1.135,    1.404,    1.867,    2.025,    2.096,    1.955,    1.867,    1.617,    2.096,    2.025,    1.902,    1.404,    1.843,    1.805,    1.810,    1.992,    1.588,    1.887,    1.961,    1.135
  2046,    27,    1.507,    1.859,    2.367,    2.612,    2.781,    2.487,    2.438,    2.115,    2.781,    2.612,    2.353,    1.859,    2.367,    2.477,    2.291,    2.497,    2.072,    2.318,    2.559,    1.507
